,Node,Time,PricePerMinute
0,8,1,2.73140625
1,8,15,1.0173469387755103
2,1,22,0.8013422818791947
3,1,5,0.9887323943661971
4,12,52,0.6909220872051465
5,3,69,1.118552036199095
6,2,1,1.0389413988657845
7,13,4,1.0041896361631752
8,5,7,1.382509505703422
9,5,12,1.1089005235602094
10,5,13,0.9710021321961619
11,5,74,0.7654383735705209
12,17,0,1.0407894736842105
13,17,5,0.8662983425414365
14,8,7,1.2367346938775508
15,8,13,0.934008097165992
16,8,62,1.4901639344262294
17,12,63,1.19136690647482
18,8,69,1.0821862348178137
19,3,80,1.2867187500000001
20,8,84,0.7943362831858408
21,8,86,1.188235294117647
22,8,87,1.1089887640449438
23,8,88,1.3466666666666667
24,8,89,0.5924528301886792
25,8,91,0.9215686274509803
26,17,3,0.945985401459854
27,4,57,1.1193311036789297
28,17,77,1.0648275862068965
29,8,0,1.153846153846154
30,3,39,1.4586206896551723
31,8,53,0.8424242424242424
32,8,62,0.9454545454545455
33,8,79,0.961263157894737
34,12,1,2.2534391534391536
35,12,81,0.7870192307692309
36,19,4,1.3966463414634147
37,13,58,1.0772364924712134
38,8,1,0.9679558011049723
39,8,6,0.8509666080843585
40,9,15,0.8390909090909091
41,8,41,1.0478170478170479
42,8,68,0.8702205882352941
43,1,79,1.5605150214592274
44,12,1,1.1064449064449062
45,8,4,0.9549407114624505
46,12,6,1.0088571428571427
47,8,11,0.968685376661743
48,8,85,0.7610071942446043
49,12,87,0.9361963190184048
50,0,90,1.5472340425531914
51,5,1,1.0455580865603646
52,8,12,0.843956043956044
53,12,24,1.344043321299639
54,8,20,1.194767441860465
55,3,61,1.0376391982182627
56,8,1,0.78984375
57,5,3,0.8993548387096774
58,8,4,0.7299248120300752
59,3,6,2.2720930232558136
60,8,8,2.7338345864661653
61,5,11,0.8664179104477612
62,4,54,0.8721189591078067
63,11,86,0.8017241379310345
64,1,7,0.8201117318435754
65,1,10,0.9776357827476037
66,3,2,1.0223580786026203
67,8,5,0.9241379310344828
68,8,9,0.8835886214442014
69,8,12,1.4093023255813952
70,11,17,0.9703016241299304
71,8,71,0.9642857142857144
72,8,2,1.2104477611940299
73,10,57,0.8366083445491251
74,5,62,1.06
75,5,1,1.1766990291262136
76,5,46,0.6912265758091993
77,3,55,0.7454545454545455
78,3,62,1.140122199592668
79,8,75,0.9489194499017682
80,8,1,0.934468085106383
81,3,55,1.1006815968841286
82,8,59,0.7112704918032787
83,5,1,1.111811023622047
84,13,60,1.1991978609625669
85,3,66,1.1796407185628741
86,11,84,0.8251247920133111
87,19,2,1.1492242595204514
88,5,75,0.9052401746724892
89,8,13,1.2819112627986347
90,19,54,0.6783393501805054
91,2,57,0.8949935815147624
92,16,63,0.9011450381679389
93,10,13,0.831864406779661
94,0,1,120.34285714285714
95,11,9,1.231578947368421
96,12,5,1.0388646288209609
97,3,56,1.364331210191083
98,12,4,0.8779036827195468
99,8,11,1.4962962962962962
100,10,61,1.0604758250191866
101,8,79,0.963103448275862
102,19,2,1.2102127659574469
103,8,58,1.1547520661157025
104,8,70,1.1936170212765957
105,13,3,1.202365930599369
