,RIDE_ID,started_on,completed_on,start_location_long,start_location_lat,distance_travelled,end_location_lat,end_location_long,active_driver_id,rider_id,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driving_time_to_rider,driver_id,car_id,make,model,year,start_date
1421927,1421927,2017-04-05 00:05:55+00:00,2017-04-05 00:16:46+00:00,-97.745,30.284,3738.0,30.265,-97.731,652219,19971,1.5,8.61,0.99,0.25,2.72,157.0,2094,2094,b'Toyota',b'Corolla',b'2007',2017-04-05
1421928,1421928,2017-04-05 00:06:00+00:00,2017-04-05 00:19:47+00:00,-97.769,30.272,12177.0,30.226,-97.84,652176,161924,1.5,14.58,0.99,0.25,3.45,112.0,4497,4497,b'Toyota',b'Corolla',b'2006',2017-04-05
1421929,1421929,2017-04-05 00:06:11+00:00,2017-04-05 00:17:54+00:00,-97.764,30.264,3503.0,30.268,-97.741,652260,252244,1.5,8.67,0.99,0.25,2.93,168.0,4729,4729,b'Toyota',b'RAV4',b'2017',2017-04-05
1421930,1421930,2017-04-05 00:06:20+00:00,2017-04-05 00:24:39+00:00,-97.762,30.244,12537.0,30.325,-97.743,652342,251242,1.5,15.95,0.99,0.25,4.58,167.0,3014,3014,b'Kia',b'Soul',b'2016',2017-04-05
1421931,1421931,2017-04-05 00:06:23+00:00,2017-04-05 00:15:12+00:00,-97.763,30.445,5457.0,30.418,-97.748,652343,233150,1.5,9.16,0.99,0.25,2.21,237.0,3795,3795,b'Audi',b'Q5',b'2016',2017-04-05
1421932,1421932,2017-04-05 00:06:33+00:00,2017-04-05 00:10:30+00:00,-97.745,30.268,1924.0,30.27,-97.731,652166,34808,3.0,12.12,2.6,0.35,1.38,310.0,4639,4639,b'Nissan',b'Pathfinder',b'2016',2017-04-05
1421933,1421933,2017-04-05 00:06:38+00:00,2017-04-05 00:23:29+00:00,-97.75,30.392,17864.0,30.268,-97.74,652054,251770,3.0,40.16,2.6,0.35,5.9,360.0,662,662,b'Toyota',b'Tundra',b'2012',2017-04-05
1421934,1421934,2017-04-05 00:06:46+00:00,2017-04-05 00:27:02+00:00,-97.734,30.271,8731.0,30.325,-97.743,652147,71978,3.0,26.46,2.6,0.35,7.09,182.0,1845,1845,b'GMC',b'Acadia',b'2010',2017-04-05
1421935,1421935,2017-04-05 00:06:58+00:00,2017-04-05 00:14:34+00:00,-97.712,30.256,3956.0,30.26,-97.688,651792,6641,1.5,7.91,0.99,0.25,1.9,215.0,1991,1991,b'Lincoln',b'Town Car',b'2002',2017-04-05
1421936,1421936,2017-04-05 00:06:59+00:00,2017-04-05 00:13:26+00:00,-97.783,30.242,3567.0,30.261,-97.759,652344,220207,1.5,7.37,0.99,0.25,1.61,150.0,654,654,b'Nissan',b'Versa',b'2013',2017-04-05
