,DriverID,RideID,Location,Time,Date,ChargeKwhNeeded
518,4862,1426162,30.203 -97.668,20:46:31,2017-04-05,2.677249085096619
519,4862,1426406,30.203 -97.667,22:10:37,2017-04-05,2.677249085096619
520,2404,1425771,30.264 -97.74,18:59:56,2017-04-05,1.8159842091332148
521,2404,1426301,30.31 -97.745,21:18:54,2017-04-05,1.8159842091332148
522,4704,1425819,30.311 -97.706,19:18:16,2017-04-05,2.17353477889908
523,4704,1426061,30.268 -97.741,20:12:03,2017-04-05,2.17353477889908
524,4704,1426444,30.278 -97.807,21:35:52,2017-04-05,2.17353477889908
525,4704,1426654,30.269 -97.76,22:06:58,2017-04-05,2.17353477889908
526,522,1425836,30.402 -97.749,19:20:50,2017-04-05,1.6087359666087686
527,522,1426308,30.255 -97.718,20:58:21,2017-04-05,1.6087359666087686
528,522,1426642,30.256 -97.752,22:25:21,2017-04-05,1.6087359666087686
529,522,1426964,30.203 -97.666,23:02:49,2017-04-05,1.6087359666087686
530,1801,1426846,30.39 -97.749,22:57:29,2017-04-05,3.369346620520898
531,4670,1426046,30.269 -97.736,20:00:19,2017-04-05,2.413568456682614
532,4670,1426161,30.203 -97.667,20:43:56,2017-04-05,2.413568456682614
