i,m,t
4747,5,75
3085,8,4
654,8,78
4626,8,91
4117,5,46
4631,8,85
1432,12,52
4127,12,24
1697,11,86
3362,9,15
4137,3,56
685,12,23
942,8,59
4019,8,71
2229,12,5
1078,11,55
3767,3,61
311,12,81
4278,10,13
444,11,84
3901,3,55
1991,8,89
2250,12,4
4430,5,7
3795,5,74
3802,8,53
1249,0,1
1255,13,58
4073,12,8
1398,10,57
2170,8,68
