,Unnamed: 0,DriverID,RideID,Location,Time,Date,latitude,longitude
146,146,719,1422272,30.266 -97.74600000000001,01:19:53,2017-04-05,30.266,-97.74600000000001
147,147,4684,1422297,30.203000000000003 -97.666,01:41:29,2017-04-05,30.203000000000003,-97.666
148,148,4684,1422743,30.259 -97.68700000000001,02:57:21,2017-04-05,30.259,-97.68700000000001
149,149,4684,1423074,30.441999999999997 -97.771,04:13:05,2017-04-05,30.441999999999997,-97.771
150,150,4684,1426799,30.27 -97.751,22:32:59,2017-04-05,30.27,-97.751
151,151,3901,1422801,30.27 -97.74,03:15:21,2017-04-05,30.27,-97.74
152,152,3901,1425465,30.379 -97.74,18:12:58,2017-04-05,30.379,-97.74
153,153,610,1422199,30.253 -97.764,01:06:07,2017-04-05,30.253,-97.764
154,154,610,1422883,30.256999999999998 -97.72399999999999,03:19:57,2017-04-05,30.256999999999998,-97.72399999999999
155,155,610,1423193,30.233 -97.77799999999999,04:36:34,2017-04-05,30.233,-97.77799999999999
156,156,610,1424560,30.403000000000002 -97.72200000000001,14:33:18,2017-04-05,30.403000000000002,-97.72200000000001
157,157,610,1424829,30.436 -97.736,15:29:41,2017-04-05,30.436,-97.736
158,158,610,1425963,30.243000000000002 -97.764,20:08:48,2017-04-05,30.243000000000002,-97.764
159,159,3233,1422212,30.273000000000003 -97.757,01:04:26,2017-04-05,30.273000000000003,-97.757
160,160,3233,1424232,30.243000000000002 -97.73700000000001,13:25:40,2017-04-05,30.243000000000002,-97.73700000000001
161,161,3761,1424426,30.281999999999996 -97.74,14:00:03,2017-04-05,30.281999999999996,-97.74
162,162,3233,1424573,30.265 -97.73899999999999,14:42:01,2017-04-05,30.265,-97.73899999999999
163,163,3233,1424694,30.27 -97.743,14:53:00,2017-04-05,30.27,-97.743
164,164,3233,1424752,30.269000000000002 -97.772,15:13:38,2017-04-05,30.269000000000002,-97.772
165,165,3233,1425717,30.264 -97.744,19:00:52,2017-04-05,30.264,-97.744
166,166,3233,1426597,30.253 -97.712,22:03:59,2017-04-05,30.253,-97.712
167,167,3233,1426754,30.26 -97.758,22:24:54,2017-04-05,30.26,-97.758
168,168,4545,1422216,30.266 -97.74,01:31:55,2017-04-05,30.266,-97.74
169,169,4545,1422524,30.23 -97.835,02:10:39,2017-04-05,30.23,-97.835
170,170,4791,1422649,30.033 -97.65899999999999,02:56:15,2017-04-05,30.033,-97.65899999999999
171,171,4791,1425852,30.229 -97.76700000000001,19:25:56,2017-04-05,30.229,-97.76700000000001
172,172,4691,1422358,30.307 -97.726,01:45:15,2017-04-05,30.307,-97.726
173,173,4691,1423171,30.484 -97.79299999999999,04:23:50,2017-04-05,30.484,-97.79299999999999
174,174,4691,1425062,30.259 -97.74700000000001,16:32:20,2017-04-05,30.259,-97.74700000000001
175,175,4691,1425694,30.296 -97.736,18:47:10,2017-04-05,30.296,-97.736
176,176,4691,1426029,30.264 -97.744,20:14:59,2017-04-05,30.264,-97.744
177,177,1099,1422224,30.255 -97.75299999999999,01:10:10,2017-04-05,30.255,-97.75299999999999
178,178,1099,1423739,30.311999999999998 -97.66799999999999,09:10:11,2017-04-05,30.311999999999998,-97.66799999999999
179,179,1099,1424344,30.395 -97.75299999999999,13:55:38,2017-04-05,30.395,-97.75299999999999
180,180,1321,1422281,30.393 -97.848,01:48:40,2017-04-05,30.393,-97.848
181,181,1321,1423027,30.267 -97.73700000000001,03:52:50,2017-04-05,30.267,-97.73700000000001
182,182,1321,1423425,30.261999999999997 -97.774,05:37:56,2017-04-05,30.261999999999997,-97.774
183,183,1321,1425335,30.27 -97.749,17:22:12,2017-04-05,30.27,-97.749
184,184,1321,1425886,30.266 -97.73899999999999,19:48:00,2017-04-05,30.266,-97.73899999999999
185,185,4764,1422283,30.266 -97.736,01:22:35,2017-04-05,30.266,-97.736
186,186,1185,1423110,30.283 -97.708,04:08:38,2017-04-05,30.283,-97.708
187,187,4764,1424193,30.401999999999997 -97.749,13:29:54,2017-04-05,30.401999999999997,-97.749
188,188,1061,1423119,30.261999999999997 -97.723,04:14:07,2017-04-05,30.261999999999997,-97.723
189,189,1857,1422717,30.093000000000004 -97.87200000000001,02:49:14,2017-04-05,30.093000000000004,-97.87200000000001
190,190,1857,1423710,30.203000000000003 -97.667,08:30:07,2017-04-05,30.203000000000003,-97.667
191,191,4054,1422305,30.483 -97.68700000000001,01:44:30,2017-04-05,30.483,-97.68700000000001
192,192,4054,1422914,30.456999999999997 -97.815,03:25:24,2017-04-05,30.456999999999997,-97.815
193,193,4054,1422983,30.526999999999997 -97.845,03:46:40,2017-04-05,30.526999999999997,-97.845
194,194,4862,1427150,30.272 -97.755,23:15:45,2017-04-05,30.272,-97.755
195,195,2595,1423332,30.31 -97.765,05:25:26,2017-04-05,30.31,-97.765
196,196,4726,1422338,30.252 -97.743,01:43:30,2017-04-05,30.252,-97.743
197,197,4726,1422963,30.435 -97.697,03:58:44,2017-04-05,30.435,-97.697
198,198,4726,1423899,30.453000000000003 -97.824,11:21:43,2017-04-05,30.453000000000003,-97.824
199,199,4726,1424729,30.479 -97.835,15:11:26,2017-04-05,30.479,-97.835
200,200,4229,1423280,30.3 -97.77600000000001,05:00:34,2017-04-05,30.3,-97.77600000000001
201,201,4229,1424976,30.276999999999997 -97.74,16:12:36,2017-04-05,30.276999999999997,-97.74
202,202,2880,1422480,30.177 -97.75299999999999,02:07:54,2017-04-05,30.177,-97.75299999999999
