i,m,t
3077,13,53
3085,1,4
1549,8,55
4626,8,91
4117,8,48
4630,17,72
4631,8,85
4119,17,68
4121,19,77
4638,8,21
4127,1,25
1568,17,19
4641,13,77
4642,17,56
2595,8,22
4644,13,21
1061,17,16
4137,17,57
47,19,83
4656,17,64
1078,19,54
1099,13,56
4684,17,92
4171,17,59
4691,17,78
3667,17,93
2648,8,22
610,8,81
2664,1,95
2670,19,61
3183,8,48
4726,17,7
2170,17,69
3196,8,64
3709,19,90
4229,8,64
4747,17,78
654,17,77
4241,8,83
4753,17,8
147,8,49
2709,19,57
3734,1,29
4758,13,88
3740,8,35
4764,8,5
1697,8,88
3233,1,89
1185,17,16
4257,1,81
4775,19,12
685,8,23
4781,17,93
3761,19,58
3249,17,81
2227,1,87
2229,1,6
4278,8,15
3767,8,63
4791,1,77
1719,17,81
2747,19,18
3273,8,75
2250,1,5
719,8,5
3795,8,75
3287,1,79
2776,1,71
3802,8,53
2782,8,73
1249,8,6
1765,8,87
1255,13,58
4840,17,17
1259,17,17
4847,19,52
1779,19,16
1780,17,19
1270,19,56
248,8,93
4860,13,91
3325,13,74
4862,1,94
4352,8,8
3843,17,77
3333,8,35
3848,19,22
2312,17,86
1801,13,81
4365,17,86
1808,19,6
1817,8,44
287,8,54
3362,8,20
1321,8,69
3369,17,40
311,19,84
3896,13,52
3901,1,14
318,17,7
1854,13,69
2880,8,11
1857,1,17
2377,13,13
843,1,58
4430,8,8
847,17,60
3421,17,14
3934,19,20
2911,8,12
3945,1,88
3439,13,59
3956,1,55
1398,1,59
2935,8,11
3960,17,53
4481,8,90
1922,17,92
2949,17,66
2954,17,59
3475,8,14
1432,8,54
4507,8,19
3487,17,57
416,17,71
3491,13,70
2475,19,95
942,8,59
1454,17,14
433,17,12
4017,8,16
4019,8,71
3505,19,53
444,13,86
956,8,69
4545,8,6
3521,1,19
3012,1,74
1991,1,90
4054,19,10
1494,17,71
475,8,88
4576,8,19
3041,8,59
3554,8,16
3556,8,86
3047,17,49
4073,17,8
3049,1,91
1516,17,60
1519,17,72
2033,8,90
1523,17,56
2553,19,88
