i,m,t
3085,8,4
4626,8,91
4117,8,47
4631,8,85
4119,8,67
4638,8,21
4127,8,25
1568,8,18
4641,19,77
4642,1,55
2595,8,22
4644,19,21
1061,8,17
4137,1,58
1078,19,54
1099,19,57
4684,8,90
4691,8,77
2648,8,22
610,1,80
2170,8,68
4229,8,64
4747,8,77
654,1,78
4241,1,82
3734,1,28
3740,8,58
4764,8,5
1697,19,88
3233,8,89
1185,8,17
4775,19,12
685,1,22
4781,8,92
3761,8,57
2229,1,6
4278,8,16
3767,8,64
4791,1,77
2250,1,5
719,8,5
3795,8,75
2776,8,70
3802,8,53
2782,8,72
1249,1,4
1255,19,60
4840,8,16
1259,1,17
4847,19,52
1779,8,18
1780,1,20
248,8,91
4862,8,93
4352,8,8
3333,8,35
3848,19,23
1808,19,6
1817,1,44
3362,19,19
1321,8,69
311,8,84
3901,8,13
318,8,6
2880,8,11
1857,19,16
2377,19,11
4430,19,8
3934,19,20
2911,8,13
3945,8,24
1398,8,60
2935,1,11
4481,8,90
3475,8,14
1432,1,54
4507,8,19
416,8,70
942,8,59
1454,8,14
433,1,13
4019,8,71
444,19,86
4545,8,6
1991,8,89
4054,8,12
475,8,88
4576,8,19
3554,19,18
3556,8,86
3047,1,50
4073,8,8
1519,1,72
