i,m,t
3362,8,1
4631,8,85
2170,8,68
1991,8,89
1255,8,63
685,8,23
4430,8,8
3085,8,4
654,8,78
4626,8,91
3795,8,75
311,8,84
1432,8,54
3802,8,53
